"","Episode","word","sentiment"
"894",NA,"annoyances","negative"
"895",NA,"annoyed","negative"
"896",NA,"annoying","negative"
"897",NA,"annoyingly","negative"
"898",NA,"annoys","negative"
"899",NA,"anomalous","negative"
"900",NA,"anomaly","negative"
"901",NA,"antagonism","negative"
"902",NA,"antagonist","negative"
"903",NA,"antagonistic","negative"
"904",NA,"antagonize","negative"
"905",NA,"anti-","negative"
"906",NA,"anti-american","negative"
"907",NA,"anti-israeli","negative"
"908",NA,"anti-occupation","negative"
"909",NA,"anti-proliferation","negative"
"910",NA,"anti-semites","negative"
"911",NA,"anti-social","negative"
"912",NA,"anti-us","negative"
"913",NA,"anti-white","negative"
"914",NA,"antipathy","negative"
"915",NA,"antiquated","negative"
"916",NA,"antithetical","negative"
"917",NA,"anxieties","negative"
"918",NA,"anxiety","negative"
"919",NA,"anxious","negative"
"920",NA,"anxiously","negative"
"921",NA,"anxiousness","negative"
"922",NA,"apathetic","negative"
"923",NA,"apathetically","negative"
"924",NA,"apathy","negative"
"925",NA,"apocalypse","negative"
"926",NA,"apocalyptic","negative"
"927",NA,"apologist","negative"
"928",NA,"apologists","negative"
"929",NA,"apotheosis","positive"
"930",NA,"appal","negative"
"931",NA,"appall","negative"
"932",NA,"appalled","negative"
"933",NA,"appalling","negative"
"934",NA,"appallingly","negative"
"935",NA,"appeal","positive"
"936",NA,"appealing","positive"
"937",NA,"applaud","positive"
"938",NA,"appreciable","positive"
"939",NA,"appreciate","positive"
"940",NA,"appreciated","positive"
"941",NA,"appreciates","positive"
"942",NA,"appreciative","positive"
"943",NA,"appreciatively","positive"
"944",NA,"apprehension","negative"
"945",NA,"apprehensions","negative"
"946",NA,"apprehensive","negative"
"947",NA,"apprehensively","negative"
"948",NA,"appropriate","positive"
"949",NA,"approval","positive"
"950",NA,"approve","positive"
"951",NA,"arbitrary","negative"
"952",NA,"arcane","negative"
"953",NA,"archaic","negative"
"954",NA,"ardent","positive"
"955",NA,"ardently","positive"
"956",NA,"ardor","positive"
"957",NA,"arduous","negative"
"958",NA,"arduously","negative"
"959",NA,"argumentative","negative"
"960",NA,"arrogance","negative"
"961",NA,"arrogant","negative"
"962",NA,"arrogantly","negative"
"963",NA,"articulate","positive"
"964",NA,"ashamed","negative"
"965",NA,"asinine","negative"
"966",NA,"asininely","negative"
"967",NA,"asinininity","negative"
"968",NA,"askance","negative"
"969",NA,"asperse","negative"
"970",NA,"aspersion","negative"
"971",NA,"aspersions","negative"
"972",NA,"aspiration","positive"
"973",NA,"aspirations","positive"
"974",NA,"aspire","positive"
